Nombre;Apellidos;CorreoElectronico
Alfredo;Fernandez;mario@educantabria.es
Paco;Rodriguez;luigi@example.com
Luis;Garcia;peach@example.com
Veronica;Lopez;toad@hotmail.es
Maria;Martinez;yoshi@example.com
Jose;Sanchez;bowser@gmail.com
Antonio;Perez;goomba@educantabria.es
Ana;Gonzalez;koopa@example.com
Juan;Ramirez;donkeykong@example.com
Carmen;Morales;daisy@example.com
Francisco;Ortega;waluigi@gmail.com
Isabel;Rubio;wario@example.com
Javier;Molina;rosalina@hotmail.es
Teresa;Delgado;birdo@example.com
Rafael;Aguirre;toadette@example.com
Beatriz;Romero;koopalings@example.com
Gabriel;Navarro;kamek@example.com
Susana;Blanco;bowserjr@example.com
Alberto;Perez;diddykong@gmail.com
Sara;Morales;funkykong@gmail.com
